date,day_of_week,temperature,weather,season,event,is_weekend,holiday,menu_item,historical_sales,price,promotion,predicted_sales,production,actual_sales,wastage
01-01-2024,Monday,32,Cloudy,Winter,None,0,0,Biryani,108,220,0,99,108,108,0
01-01-2024,Monday,32,Cloudy,Winter,None,0,0,Fried_Rice,68,180,0,70,73,68,5
01-01-2024,Monday,32,Cloudy,Winter,None,0,0,Noodles,63,160,0,65,74,63,11
01-01-2024,Monday,32,Cloudy,Winter,None,0,0,Paneer_Curry,61,200,0,54,56,61,0
01-01-2024,Monday,32,Cloudy,Winter,None,0,0,Chicken_Curry,91,240,0,91,99,91,8
01-01-2024,Monday,32,Cloudy,Winter,None,0,0,Soup,37,120,0,37,40,37,3
01-01-2024,Monday,32,Cloudy,Winter,None,0,0,Parotta,47,100,0,51,55,47,8
01-01-2024,Monday,32,Cloudy,Winter,None,0,0,Idli,105,60,0,103,108,105,3
01-01-2024,Monday,32,Cloudy,Winter,None,0,0,Dosa,98,80,0,106,117,98,19
01-01-2024,Monday,32,Cloudy,Winter,None,0,0,Samosa,91,30,0,86,92,91,1
01-01-2024,Monday,32,Cloudy,Winter,None,0,0,Cooldrinks,92,50,0,95,105,92,13
01-01-2024,Monday,32,Cloudy,Winter,None,0,0,IceCream,70,90,0,68,72,70,2
01-01-2024,Monday,32,Cloudy,Winter,None,0,0,Puri,85,70,0,89,97,85,12
01-01-2024,Monday,32,Cloudy,Winter,None,0,0,Tea,156,20,0,141,159,156,3
01-01-2024,Monday,32,Cloudy,Winter,None,0,0,Coffee,115,40,0,113,123,115,8
02-01-2024,Tuesday,30.7,Sunny,Summer,None,0,0,Biryani,107,220,0,103,112,107,5
02-01-2024,Tuesday,30.7,Sunny,Summer,None,0,0,Fried_Rice,74,180,0,71,76,74,2
02-01-2024,Tuesday,30.7,Sunny,Summer,None,0,0,Noodles,60,160,0,60,63,60,3
02-01-2024,Tuesday,30.7,Sunny,Summer,None,0,0,Paneer_Curry,58,200,0,60,67,58,9
02-01-2024,Tuesday,30.7,Sunny,Summer,None,0,0,Chicken_Curry,87,240,0,79,85,87,0
02-01-2024,Tuesday,30.7,Sunny,Summer,None,0,0,Soup,32,120,0,29,31,32,0
02-01-2024,Tuesday,30.7,Sunny,Summer,None,0,0,Parotta,50,100,0,48,53,50,3
02-01-2024,Tuesday,30.7,Sunny,Summer,None,0,0,Idli,106,60,0,105,111,106,5
02-01-2024,Tuesday,30.7,Sunny,Summer,None,0,0,Dosa,93,80,0,96,108,93,15
02-01-2024,Tuesday,30.7,Sunny,Summer,None,0,0,Samosa,106,30,0,105,115,106,9
02-01-2024,Tuesday,30.7,Sunny,Summer,None,0,0,Cooldrinks,94,50,0,92,96,94,2
02-01-2024,Tuesday,30.7,Sunny,Summer,None,0,0,IceCream,62,90,0,62,70,62,8
02-01-2024,Tuesday,30.7,Sunny,Summer,None,0,0,Puri,88,70,0,83,90,88,2
02-01-2024,Tuesday,30.7,Sunny,Summer,None,0,0,Tea,149,20,0,136,146,149,0
02-01-2024,Tuesday,30.7,Sunny,Summer,None,0,0,Coffee,135,40,0,125,142,135,7
03-01-2024,Wednesday,32,Rainy,Summer,Festival,0,1,Biryani,148,220,0,136,147,148,0
03-01-2024,Wednesday,32,Rainy,Summer,Festival,0,1,Fried_Rice,91,180,0,93,97,91,6
03-01-2024,Wednesday,32,Rainy,Summer,Festival,0,1,Noodles,83,160,0,80,86,83,3
03-01-2024,Wednesday,32,Rainy,Summer,Festival,0,1,Paneer_Curry,71,200,0,70,78,71,7
03-01-2024,Wednesday,32,Rainy,Summer,Festival,0,1,Chicken_Curry,93,240,0,88,94,93,1
03-01-2024,Wednesday,32,Rainy,Summer,Festival,0,1,Soup,56,120,0,56,61,56,5
03-01-2024,Wednesday,32,Rainy,Summer,Festival,0,1,Parotta,77,100,0,70,75,77,0
03-01-2024,Wednesday,32,Rainy,Summer,Festival,0,1,Idli,139,60,0,144,153,139,14
03-01-2024,Wednesday,32,Rainy,Summer,Festival,0,1,Dosa,106,80,0,116,124,106,18
03-01-2024,Wednesday,32,Rainy,Summer,Festival,0,1,Samosa,170,30,0,154,167,170,0
03-01-2024,Wednesday,32,Rainy,Summer,Festival,0,1,Cooldrinks,123,50,0,126,140,123,17
03-01-2024,Wednesday,32,Rainy,Summer,Festival,0,1,IceCream,69,90,0,69,76,69,7
03-01-2024,Wednesday,32,Rainy,Summer,Festival,0,1,Puri,119,70,0,109,118,119,0
03-01-2024,Wednesday,32,Rainy,Summer,Festival,0,1,Tea,280,20,0,278,319,280,39
03-01-2024,Wednesday,32,Rainy,Summer,Festival,0,1,Coffee,168,40,0,164,185,168,17
04-01-2024,Thursday,28.2,Cloudy,Winter,Festival,0,1,Biryani,160,220,0,151,169,160,9
04-01-2024,Thursday,28.2,Cloudy,Winter,Festival,0,1,Fried_Rice,97,180,0,89,101,97,4
04-01-2024,Thursday,28.2,Cloudy,Winter,Festival,0,1,Noodles,99,160,0,96,105,99,6
